equity,price,revenue,noi,debt_payment,loan_payoff,valuation,cashflow,horizon,market,date_cashflow,slice
-36747.68907000001,122492.2969,0.0,0.0,0.0,0.0,0.0,-36747.68907000001,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
0.0,129301.419,16077.80536269571,7395.790466840026,-6130.739459845,0.0,0.0,1265.051006995026,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
0.0,135608.9335,16256.232680531997,7477.8670330447185,-6130.739459845,0.0,0.0,1347.1275731997184,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
0.0,140935.3208,16694.23848879905,7679.349704847562,-6130.739459845,0.0,0.0,1548.610245002562,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
0.0,146121.436,16883.985669172725,7766.633407819453,-6130.739459845,0.0,0.0,1635.893947974453,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
0.0,151255.0515,17063.874293790195,7849.382175143489,-6130.739459845,-85744.60783,151255.0515,67229.08638529849,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
-29446.861860000005,98156.2062,0.0,0.0,0.0,0.0,0.0,-29446.861860000005,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
0.0,104259.7701,16146.398520888819,7427.343319608856,-4912.71812031,0.0,0.0,2514.6251992988564,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
0.0,109992.3807,16636.80474601689,7652.9301831677685,-4912.71812031,0.0,0.0,2740.2120628577686,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
0.0,115083.048,17003.393291083506,7821.560913898413,-4912.71812031,0.0,0.0,2908.842793588413,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
0.0,120149.0681,17336.87746338835,7974.963633158641,-4912.71812031,0.0,0.0,3062.245512848641,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
0.0,125196.3463,17662.35251512437,8124.682156957209,-4912.71812031,-68709.34434,125196.3463,59698.96599664722,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
-18625.505490000003,62085.0183,0.0,0.0,0.0,0.0,0.0,-18625.505490000003,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
0.0,65715.0824,10954.409709117324,5039.028466193969,-3107.3551659150003,0.0,0.0,1931.6733002789683,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
0.0,69216.3663,11315.69565092824,5205.21999942699,-3107.3551659150003,0.0,0.0,2097.86483351199,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
0.0,72346.101,11613.70837223576,5342.30585122845,-3107.3551659150003,0.0,0.0,2234.9506853134494,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
0.0,75437.1084,11866.850123956187,5458.751057019846,-3107.3551659150003,0.0,0.0,2351.3958911048453,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
0.0,78510.8838,12106.889972696717,5569.16938744049,-3107.3551659150003,-43459.51281,78510.8838,37513.18521152549,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
-80456.60340000002,268188.678,0.0,0.0,0.0,0.0,0.0,-80456.60340000002,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class A
0.0,286765.6883,23579.345581833386,10846.498967643356,-13422.8433339,0.0,0.0,-2576.344366256644,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class A
