absorption_units_12_mo,demand_units,inventory_units,net_delivered_units_12_mo,horizon,market,date_calculated,slice
5.0,677.020629882813,855.0,0.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
-5.0,672.890014648438,855.0,0.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
34.0,707.240600585938,906.0,51.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
20.0,727.377685546875,922.0,16.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
16.0,743.496704101563,942.0,20.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
17.0,761.014587402344,963.0,21.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class A
573.0,14791.119140625,15825.0,362.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
187.0,14978.2216796875,15927.0,102.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
47.0,15024.4033203125,15987.0,60.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
129.0,15153.3369140625,16191.0,204.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
198.0,15351.9892578125,16446.0,255.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
229.0,15581.294921875,16717.0,271.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class B
163.0,20323.634765625,21361.0,0.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
9.0,20331.720703125,21491.0,130.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
22.0,20354.435546875,21484.0,-7.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
-20.0,20332.271484375,21478.0,-6.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
-35.0,20297.71484375,21472.0,-6.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
-29.0,20269.541015625,21465.0,-7.0,5 Yrs Ahead (2025-2030),"Akron,Ohio",2025-03-31,Class C
290.0,4577.56396484375,4701.0,188.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class A
218.0,4796.31640625,5023.0,322.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class A
104.0,4900.03955078125,5084.0,61.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class A
144.0,5043.30615234375,5283.0,199.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class A
218.0,5261.9609375,5534.0,251.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class A
249.0,5509.35205078125,5803.0,269.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class A
1026.0,26158.310546875,27745.0,1197.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class B
454.0,26625.615234375,27951.0,206.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class B
252.0,26878.494140625,28202.0,251.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class B
301.0,27179.51953125,28490.0,288.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class B
317.0,27497.431640625,28840.0,350.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class B
611.0,28109.59375,29543.0,703.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class B
47.0,25139.392578125,26130.0,0.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class C
-20.0,25134.779296875,26126.0,-4.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class C
18.0,25153.6953125,26119.0,-7.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class C
17.0,25170.556640625,26112.0,-7.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class C
5.0,25177.06640625,26105.0,-7.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class C
8.0,25184.46484375,26098.0,-7.0,5 Yrs Ahead (2025-2030),"Albany,New York",2025-03-31,Class C
548.0,4261.1455078125,4685.0,111.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class A
194.0,4455.29296875,4894.0,209.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class A
131.0,4585.87353515625,5029.0,135.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class A
156.0,4742.0537109375,5180.0,151.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class A
180.0,4923.2060546875,5386.0,206.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class A
206.0,5130.33203125,5617.0,231.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class A
805.0,25537.873046875,27639.0,463.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class B
462.0,25999.037109375,28111.0,472.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class B
380.0,26379.2421875,28740.0,629.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class B
343.0,26721.345703125,28932.0,192.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class B
244.0,26964.826171875,29195.0,263.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class B
248.0,27212.25390625,29488.0,293.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class B
109.0,22170.662109375,23954.0,10.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class C
-41.0,22129.388671875,23950.0,-4.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class C
-131.0,21997.767578125,23942.0,-8.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class C
-38.0,21958.703125,23935.0,-7.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class C
-12.0,21946.89453125,23928.0,-7.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class C
-24.0,21921.876953125,23920.0,-8.0,5 Yrs Ahead (2025-2030),"Albuquerque,New Mexico",2025-03-31,Class C
12152.0,131977.640625,152052.0,12320.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class A
6464.0,138441.8125,156516.0,4464.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class A
5957.0,144398.25,161304.0,4788.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class A
5341.0,149739.328125,165542.0,4238.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class A
4878.0,154616.796875,169842.0,4300.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class A
4645.0,159261.609375,174209.0,4367.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class A
9628.0,236077.4375,268627.0,12870.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class B
5184.0,241261.0625,272425.0,3798.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class B
4413.0,245674.703125,275523.0,3098.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class B
3347.0,249021.484375,278996.0,3473.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class B
3497.0,252517.9375,282171.0,3175.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class B
3792.0,256310.328125,285604.0,3433.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class B
-848.0,101091.0859375,115322.0,-1.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class C
-648.0,100361.546875,114804.0,-518.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class C
-1039.0,99323.09375,114175.0,-629.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class C
-1043.0,98280.15625,113542.0,-633.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class C
-821.0,97459.1640625,112903.0,-639.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class C
-419.0,97040.5625,112256.0,-647.0,5 Yrs Ahead (2025-2030),"Atlanta,Georgia",2025-03-31,Class C
281.0,3321.97143554688,3678.0,262.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class A
111.0,3432.86157226563,3678.0,0.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class A
30.0,3461.72045898438,3699.0,21.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class A
54.0,3515.66967773438,3788.0,89.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class A
105.0,3621.02075195313,3904.0,116.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class A
121.0,3741.09741210938,4029.0,125.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class A
1193.0,14433.23828125,16448.0,1342.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class B
507.0,14940.5556640625,16760.0,312.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class B
355.0,15295.19921875,16795.0,35.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class B
197.0,15491.9814453125,16940.0,145.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class B
189.0,15680.572265625,17128.0,188.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class B
217.0,15897.0146484375,17332.0,204.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class B
-47.0,9805.482421875,11408.0,0.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class C
-36.0,9769.0,11406.0,-2.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class C
-68.0,9700.6982421875,11400.0,-6.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class C
-47.0,9655.236328125,11394.0,-6.0,5 Yrs Ahead (2025-2030),"Augusta,Georgia",2025-03-31,Class C
