state,city,market,value,latitude,longitude
Ohio,Akron,"Akron,Ohio",702313.875,41.083064,-81.518485
New York,Albany,"Albany,New York",912073.625,42.6511674,-73.754968
New Mexico,Albuquerque,"Albuquerque,New Mexico",927299.1875,35.0841034,-106.650985
Georgia,Atlanta,"Atlanta,Georgia",6410407.0,33.7544657,-84.3898151
Georgia,Augusta,"Augusta,Georgia",637401.6875,33.4709714,-81.9748429
Texas,Austin,"Austin,Texas",2563222.0,30.2711286,-97.7436995
California,Bakersfield,"Bakersfield,California",922861.375,35.3738712,-119.019463
Maryland,Baltimore,"Baltimore,Maryland",2861976.0,39.2908816,-76.610759
Louisiana,Baton Rouge,"Baton Rouge,Louisiana",863716.125,30.4494155,-91.1869659
Alabama,Birmingham,"Birmingham,Alabama",1193861.0,33.5206824,-86.8024326
Idaho,Boise,"Boise,Idaho",849531.0,43.6166163,-116.200886
Massachusetts,Boston,"Boston,Massachusetts",5037572.0,42.3554334,-71.060511
New York,Buffalo,"Buffalo,New York",1160659.0,42.8867166,-78.8783922
South Carolina,Charleston,"Charleston,South Carolina",873692.0625,32.7884363,-79.9399309
North Carolina,Charlotte,"Charlotte,North Carolina",2874885.0,35.2272086,-80.8430827
Tennessee,Chattanooga,"Chattanooga,Tennessee",588677.4375,35.0457219,-85.3094883
Illinois,Chicago,"Chicago,Illinois",9585384.0,41.8755616,-87.6244212
Ohio,Cincinnati,"Cincinnati,Ohio",2289891.0,39.1014537,-84.5124602
Ohio,Cleveland,"Cleveland,Ohio",2075402.125,41.4996574,-81.6936772
Colorado,Colorado Springs,"Colorado Springs,Colorado",778771.75,38.8339578,-104.825348
South Carolina,Columbia,"Columbia,South Carolina",872542.8125,34.000754,-81.0352313
Ohio,Columbus,"Columbus,Ohio",2232585.0,39.9622601,-83.0007065
Texas,Dallas,"Dallas,Texas",8451689.0,32.7762719,-96.7968559
Ohio,Dayton,"Dayton,Ohio",822001.0,39.7589478,-84.1916069
Florida,Daytona Beach,"Daytona Beach,Florida",742477.4375,29.2108147,-81.0228331
Colorado,Denver,"Denver,Colorado",3058438.0,39.7392364,-104.984862
Iowa,Des Moines,"Des Moines,Iowa",717782.0,41.5868654,-93.6249494
Michigan,Detroit,"Detroit,Michigan",4405862.0,42.3315509,-83.0466403
North Carolina,Durham,"Durham,North Carolina",622329.75,35.996653,-78.9018053
California,East Bay,"East Bay,California",2828526.0,33.6811328,-117.2592037
Texas,El Paso,"El Paso,Texas",880781.375,31.7601164,-106.4870404
Florida,Fort Lauderdale,"Fort Lauderdale,Florida",2043516.0,26.1223084,-80.1433786
Florida,Fort Myers,"Fort Myers,Florida",863288.8125,26.640628,-81.8723084
California,Fresno,"Fresno,California",1024891.0,36.7394421,-119.78483
Michigan,Grand Rapids,"Grand Rapids,Michigan",1115383.0,42.9632425,-85.6678639
North Carolina,Greensboro,"Greensboro,North Carolina",802678.5625,36.0726355,-79.7919754
South Carolina,Greenville,"Greenville,South Carolina",1000029.0,34.851354,-82.3984882
