date_calculated,date_end,slice,state,city,market,cbsa,geo_code,population,current_price,loan,equity,market_cagr,noi_cap_rate_compounded,fixed_interest_rate,operation_cashflow,market_cap_appreciation_bp,irr,npv,equity_multiple,demand_vs_supply,demand_yoy_growth,supply_yoy_growth,horizon
2025-03-31,2030-03-31,Class A,Ohio,Akron,"Akron,Ohio",10420,G2-10420,702396.9375,122492.2969,85744.60783,36747.68907000001,0.043086253209781766,0.06232069077593605,0.07150000000000001,-0.009179309224063958,69.45364177227006,0.15492816201162074,15704.991452028971,1.9872207207197377,0.7879919570398624,0.02366585131752963,0.02407563743520602,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,Ohio,Akron,"Akron,Ohio",10420,G2-10420,702396.9375,98156.2062,68709.34434,29446.861860000005,0.04986819210827487,0.07946818997328137,0.07150000000000001,0.007968189973281359,69.76753473281889,0.21549798730742165,22241.75709062541,2.408572156260351,0.936013566728549,0.010463202191509868,0.011027397965447161,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,Ohio,Akron,"Akron,Ohio",10420,G2-10420,702396.9375,62085.0183,43459.51281,18625.505490000003,0.04806594730533509,0.08573557837321195,0.07150000000000001,0.014235578373211946,70.26508450508103,0.2282047585092386,15164.772022871184,2.476661368815002,0.9468611378503856,-0.0005328912226987281,0.0009718463771455355,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,New York,Albany,"Albany,New York",10580,G2-10580,911179.0,268188.678,187732.0746,80456.60340000002,0.05508112500838047,0.042981218066725974,0.07150000000000001,-0.028518781933274034,66.40076637268095,0.13279650241589058,26979.289818351972,1.9070622410990905,0.9573800134434263,0.03775114362931942,0.043019586278991495,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,New York,Albany,"Albany,New York",10580,G2-10580,911179.0,189038.498,132326.94859999997,56711.54940000002,0.05364727312868345,0.052648717947472,0.07150000000000001,-0.018851282052528007,66.11108779907198,0.1537829695267725,25254.844249897345,2.0386536624509635,0.9512678665800985,0.014492814987666636,0.012637422865882542,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,New York,Albany,"Albany,New York",10580,G2-10580,911179.0,116169.194,81318.43579999999,34850.75820000001,0.05311329169368051,0.07073595911820414,0.07150000000000001,-0.000764040881795866,66.85018539428711,0.1989565293363329,23787.526284513016,2.329150075403341,0.9634306916722509,0.00035832191486706577,-0.0002450492690151407,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,New Mexico,Albuquerque,"Albuquerque,New Mexico",10740,G2-10740,928252.6875,207048.9315,144934.25204999998,62114.679450000025,0.05689286390324311,0.046437110673273295,0.07150000000000001,-0.025062889326726713,64.15102630853605,0.14574612381108487,25386.793677349364,2.00220779979196,0.9125362543793235,0.037824267802319955,0.03695274532330006,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class B,New Mexico,Albuquerque,"Albuquerque,New Mexico",10740,G2-10740,928252.6875,159061.6854,111343.17977999999,47718.505619999996,0.05796031762784892,0.04675577972133096,0.0715,-0.024744220278669037,67.01234728097901,0.14901572233910554,20456.350036479183,2.0297622361288905,0.9227772471746899,0.01278196284654931,0.01303534536166251,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class C,New Mexico,Albuquerque,"Albuquerque,New Mexico",10740,G2-10740,928252.6875,103826.7715,72678.74005,31148.03145000001,0.05498649672867728,0.05412692343686854,0.07150000000000001,-0.017373076563131466,65.10235369205503,0.16074437625164428,15110.962101176596,2.0908699493596314,0.9199067943712621,-0.002254415469614912,-0.000284038741933168,5 Yrs Ahead (2025-2030)
2025-03-31,2030-03-31,Class A,Georgia,Atlanta,"Atlanta,Georgia",12060,G2-12060,6425237.0,305554.2009,213887.94063,91666.26027,0.04505963403119995,0.033726532346943464,0.07150000000000001,-0.037773467653056544,39.83791917562505,0.08394580670958596,5999.928279323969,1.5497340447656351,0.8968522994696084,0.03829831202438161,0.027580111809194063,5 Yrs Ahead (2025-2030)
